AAPL (APPLE INC),546.0255,-4.7445,
Dec 19 2013 @ 15:02 ET,Bid,545.97,Ask,546.09,Size,2x1,Vol,8897300,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Dec 270.00 (AAPL1321L270-X),0.0,0.0,273.55,277.10,0,0,13 Dec 270.00 (AAPL1321X270-X),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-Y),0.0,0.0,273.50,277.20,0,0,13 Dec 270.00 (AAPL1321X270-Y),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275),0.0,0.0,268.60,271.80,0,0,13 Dec 275.00 (AAPL1321X275),0.10,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-4),0.0,0.0,269.10,272.10,0,0,13 Dec 275.00 (AAPL1321X275-4),0.0,0.0,0.0,0.11,0,1,
13 Dec 275.00 (AAPL1321L275-8),0.0,0.0,268.60,272.10,0,0,13 Dec 275.00 (AAPL1321X275-8),0.0,0.0,0.0,0.11,0,1,
13 Dec 275.00 (AAPL1321L275-A),0.0,0.0,268.40,272.25,0,0,13 Dec 275.00 (AAPL1321X275-A),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-B),0.0,0.0,268.55,272.45,0,0,13 Dec 275.00 (AAPL1321X275-B),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-E),0.0,0.0,268.50,272.25,0,0,13 Dec 275.00 (AAPL1321X275-E),0.10,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-I),0.0,0.0,268.35,272.25,0,0,13 Dec 275.00 (AAPL1321X275-I),0.0,0.0,0.0,0.10,0,1,
13 Dec 275.00 (AAPL1321L275-J),0.0,0.0,268.40,271.85,0,0,13 Dec 275.00 (AAPL1321X275-J),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-O),0.0,0.0,268.40,272.10,0,0,13 Dec 275.00 (AAPL1321X275-O),0.0,0.0,0.0,0.10,0,1,
13 Dec 275.00 (AAPL1321L275-P),0.0,0.0,268.90,272.10,0,0,13 Dec 275.00 (AAPL1321X275-P),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-S),0.0,0.0,269.10,272.10,0,0,13 Dec 275.00 (AAPL1321X275-S),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-X),0.0,0.0,269.10,272.10,0,0,13 Dec 275.00 (AAPL1321X275-X),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-Y),0.0,0.0,268.50,272.10,0,0,13 Dec 275.00 (AAPL1321X275-Y),0.0,0.0,0.0,0.05,0,1,
13 Dec 280.00 (AAPL1321L280),0.0,0.0,263.60,266.85,0,0,13 Dec 280.00 (AAPL1321X280),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-4),0.0,0.0,263.55,267.10,0,0,13 Dec 280.00 (AAPL1321X280-4),0.0,0.0,0.0,0.14,0,0,
13 Dec 280.00 (AAPL1321L280-8),0.0,0.0,263.60,267.10,0,0,13 Dec 280.00 (AAPL1321X280-8),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-A),0.0,0.0,263.60,267.25,0,0,13 Dec 280.00 (AAPL1321X280-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-B),0.0,0.0,263.55,267.45,0,0,13 Dec 280.00 (AAPL1321X280-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-E),0.0,0.0,263.50,267.30,0,0,13 Dec 280.00 (AAPL1321X280-E),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-I),0.0,0.0,264.15,267.15,0,0,13 Dec 280.00 (AAPL1321X280-I),0.0,0.0,0.0,0.13,0,0,
13 Dec 280.00 (AAPL1321L280-J),0.0,0.0,264.35,266.85,0,0,13 Dec 280.00 (AAPL1321X280-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-O),0.0,0.0,263.55,267.10,0,0,13 Dec 280.00 (AAPL1321X280-O),0.0,0.0,0.0,0.13,0,0,
13 Dec 280.00 (AAPL1321L280-P),0.0,0.0,263.60,267.10,0,0,13 Dec 280.00 (AAPL1321X280-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-S),0.0,0.0,263.55,267.10,0,0,13 Dec 280.00 (AAPL1321X280-S),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-X),0.0,0.0,263.55,267.10,0,0,13 Dec 280.00 (AAPL1321X280-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 280.00 (AAPL1321L280-Y),0.0,0.0,263.50,267.10,0,0,13 Dec 280.00 (AAPL1321X280-Y),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285),238.35,0.0,258.65,261.85,0,92,13 Dec 285.00 (AAPL1321X285),0.0,0.0,0.0,0.05,0,0,
