AAPL (APPLE INC),483.5696,+0.1596,
Oct 04 2013 @ 16:14 ET,Bid,483.55,Ask,483.57,Size,1x11,Vol,8802537,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Oct 385.00 (AAPL1304J385-8),0.0,0.0,96.90,99.85,0,0,13 Oct 385.00 (AAPL1304V385-8),0.01,0.0,0.0,0.12,0,20,
13 Oct 385.00 (AAPL1304J385-A),0.0,0.0,96.90,99.80,0,0,13 Oct 385.00 (AAPL1304V385-A),0.0,0.0,0.0,0.01,0,20,
13 Oct 385.00 (AAPL1304J385-B),0.0,0.0,96.05,99.85,0,0,13 Oct 385.00 (AAPL1304V385-B),0.0,0.0,0.0,0.02,0,20,
13 Oct 385.00 (AAPL1304J385-E),0.0,0.0,97.85,99.00,0,0,13 Oct 385.00 (AAPL1304V385-E),0.0,0.0,0.0,0.12,0,20,
13 Oct 385.00 (AAPL1304J385-I),0.0,0.0,96.90,99.90,0,0,13 Oct 385.00 (AAPL1304V385-I),0.0,0.0,0.0,0.11,0,20,
13 Oct 385.00 (AAPL1304J385-J),0.0,0.0,96.30,99.85,0,0,13 Oct 385.00 (AAPL1304V385-J),0.0,0.0,0.0,0.25,0,20,
13 Oct 385.00 (AAPL1304J385-O),0.0,0.0,96.90,99.75,0,0,13 Oct 385.00 (AAPL1304V385-O),0.01,0.0,0.0,0.01,0,20,
13 Oct 385.00 (AAPL1304J385-P),0.0,0.0,96.10,99.85,0,0,13 Oct 385.00 (AAPL1304V385-P),0.0,0.0,0.0,0.01,0,20,
13 Oct 385.00 (AAPL1304J385-S),0.0,0.0,96.90,99.25,0,0,13 Oct 385.00 (AAPL1304V385-S),0.0,0.0,0.0,0.15,0,20,
13 Oct 385.00 (AAPL1304J385-X),0.0,0.0,96.90,99.75,0,0,13 Oct 385.00 (AAPL1304V385-X),0.0,0.0,0.0,0.12,0,20,
13 Oct 385.00 (AAPL1304J385-Y),0.0,0.0,98.05,99.00,0,0,13 Oct 385.00 (AAPL1304V385-Y),0.0,0.0,0.0,0.02,0,20,
13 Oct 390.00 (AAPL1304J390),95.15,0.0,93.10,94.00,0,6,13 Oct 390.00 (AAPL1304V390),0.01,0.0,0.0,0.01,0,1225,
13 Oct 390.00 (AAPL1304J390-4),0.0,0.0,91.70,94.35,0,6,13 Oct 390.00 (AAPL1304V390-4),0.04,0.0,0.0,0.14,0,1225,
13 Oct 390.00 (AAPL1304J390-8),0.0,0.0,91.70,94.50,0,6,13 Oct 390.00 (AAPL1304V390-8),0.04,0.0,0.0,0.12,0,1225,
13 Oct 390.00 (AAPL1304J390-A),95.15,0.0,91.70,94.60,0,6,13 Oct 390.00 (AAPL1304V390-A),0.04,0.0,0.0,0.01,0,1225,
13 Oct 390.00 (AAPL1304J390-B),0.0,0.0,91.20,94.90,0,6,13 Oct 390.00 (AAPL1304V390-B),0.04,0.0,0.0,0.12,0,1225,
13 Oct 390.00 (AAPL1304J390-E),78.13,0.0,93.10,94.00,0,6,13 Oct 390.00 (AAPL1304V390-E),0.01,0.0,0.0,0.15,0,1225,
